display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,NAICS,naics_title,Year,group_by_sort,wages
0,0,Total Agbiosciences,,,0,000,00000,United States,000000,,2019,0.0,59798.74880047637
0,0,Total Agbiosciences,,,0,000,00000,United States,000000,,2020,0.0,63682.59769132074
0,0,Total Agbiosciences,,,0,000,00000,United States,000000,,2021,0.0,66425.53203476086
0,0,Total Agbiosciences,,,0,000,00000,United States,000000,,2022,0.0,69896.33558205055
0,0,Total Agbiosciences,,,0,000,00000,United States,000000,,2023,0.0,72201.18149856901
0,0,Total Agbiosciences,,,00,000,14020,Bloomington MSA,000000,,2019,0.0,46045.05279174034
0,0,Total Agbiosciences,,,00,000,14020,Bloomington MSA,000000,,2020,0.0,51764.80510698822
0,0,Total Agbiosciences,,,00,000,14020,Bloomington MSA,000000,,2021,0.0,53640.94987788735
0,0,Total Agbiosciences,,,00,000,14020,Bloomington MSA,000000,,2022,0.0,57003.924811680794
0,0,Total Agbiosciences,,,00,000,14020,Bloomington MSA,000000,,2023,0.0,59200.65149405148
0,0,Total Agbiosciences,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2019,0.0,79762.624869941
0,0,Total Agbiosciences,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2020,0.0,85724.75311954215
0,0,Total Agbiosciences,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2021,0.0,89566.4396305373
0,0,Total Agbiosciences,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2022,0.0,92858.77175259548
0,0,Total Agbiosciences,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2023,0.0,94369.69428962971
0,0,Total Agbiosciences,,,00,000,17140,Cincinnati MSA,000000,,2019,0.0,69965.58422820363
0,0,Total Agbiosciences,,,00,000,17140,Cincinnati MSA,000000,,2020,0.0,75964.2404980888
0,0,Total Agbiosciences,,,00,000,17140,Cincinnati MSA,000000,,2021,0.0,78101.02890654454
0,0,Total Agbiosciences,,,00,000,17140,Cincinnati MSA,000000,,2022,0.0,81871.43672553531
0,0,Total Agbiosciences,,,00,000,17140,Cincinnati MSA,000000,,2023,0.0,84624.38647907371
0,0,Total Agbiosciences,,,00,000,18020,Columbus MSA,000000,,2019,0.0,54937.91205859366
0,0,Total Agbiosciences,,,00,000,18020,Columbus MSA,000000,,2020,0.0,58154.515943349004
0,0,Total Agbiosciences,,,00,000,18020,Columbus MSA,000000,,2021,0.0,63866.988629975545
0,0,Total Agbiosciences,,,00,000,18020,Columbus MSA,000000,,2022,0.0,66378.69801247722
0,0,Total Agbiosciences,,,00,000,18020,Columbus MSA,000000,,2023,0.0,73638.44956216055
0,0,Total Agbiosciences,,,00,000,21140,Elkhart-Goshen MSA,000000,,2019,0.0,54914.51634648555
0,0,Total Agbiosciences,,,00,000,21140,Elkhart-Goshen MSA,000000,,2020,0.0,57709.98165681661
0,0,Total Agbiosciences,,,00,000,21140,Elkhart-Goshen MSA,000000,,2021,0.0,61791.05611599384
0,0,Total Agbiosciences,,,00,000,21140,Elkhart-Goshen MSA,000000,,2022,0.0,65759.73413784086
0,0,Total Agbiosciences,,,00,000,21140,Elkhart-Goshen MSA,000000,,2023,0.0,67435.5087360711
0,0,Total Agbiosciences,,,00,000,21780,Evansville MSA,000000,,2019,0.0,74475.49511020826
0,0,Total Agbiosciences,,,00,000,21780,Evansville MSA,000000,,2020,0.0,75574.29960705075
0,0,Total Agbiosciences,,,00,000,21780,Evansville MSA,000000,,2021,0.0,79987.86258193494
0,0,Total Agbiosciences,,,00,000,21780,Evansville MSA,000000,,2022,0.0,81210.73218191125
0,0,Total Agbiosciences,,,00,000,21780,Evansville MSA,000000,,2023,0.0,86012.85701625778
0,0,Total Agbiosciences,,,00,000,23060,Fort Wayne MSA,000000,,2019,0.0,54473.79892949431
0,0,Total Agbiosciences,,,00,000,23060,Fort Wayne MSA,000000,,2020,0.0,57081.42724233228
0,0,Total Agbiosciences,,,00,000,23060,Fort Wayne MSA,000000,,2021,0.0,59376.417307728305
0,0,Total Agbiosciences,,,00,000,23060,Fort Wayne MSA,000000,,2022,0.0,60999.03830353548
0,0,Total Agbiosciences,,,00,000,23060,Fort Wayne MSA,000000,,2023,0.0,63429.27038779017
0,0,Total Agbiosciences,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2019,0.0,67232.4750599086
0,0,Total Agbiosciences,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2020,0.0,72298.58900999553
0,0,Total Agbiosciences,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2021,0.0,72971.28038318097
0,0,Total Agbiosciences,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2022,0.0,76698.077249057
0,0,Total Agbiosciences,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2023,0.0,80776.61427192538
0,0,Total Agbiosciences,,,00,000,29020,Kokomo MSA,000000,,2019,0.0,52906.71295737113
0,0,Total Agbiosciences,,,00,000,29020,Kokomo MSA,000000,,2020,0.0,54223.88370220589
0,0,Total Agbiosciences,,,00,000,29020,Kokomo MSA,000000,,2021,0.0,53300.04204989283
0,0,Total Agbiosciences,,,00,000,29020,Kokomo MSA,000000,,2022,0.0,75122.29037433419
0,0,Total Agbiosciences,,,00,000,29020,Kokomo MSA,000000,,2023,0.0,75387.5379188319
0,0,Total Agbiosciences,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2019,0.0,63296.20967838947
0,0,Total Agbiosciences,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2020,0.0,71144.28247161869
0,0,Total Agbiosciences,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2021,0.0,68337.70286766514
0,0,Total Agbiosciences,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2022,0.0,71597.26984329143
0,0,Total Agbiosciences,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2023,0.0,78021.72481303423
0,0,Total Agbiosciences,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2019,0.0,75175.46683505451
0,0,Total Agbiosciences,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2020,0.0,79682.90363677178
0,0,Total Agbiosciences,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2021,0.0,80425.34516889288
0,0,Total Agbiosciences,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2022,0.0,83450.8152566748
0,0,Total Agbiosciences,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2023,0.0,85100.3522184441
0,0,Total Agbiosciences,,,00,000,33140,Michigan City-La Porte MSA,000000,,2019,0.0,54096.78824293703
0,0,Total Agbiosciences,,,00,000,33140,Michigan City-La Porte MSA,000000,,2020,0.0,57266.4760917234
0,0,Total Agbiosciences,,,00,000,33140,Michigan City-La Porte MSA,000000,,2021,0.0,59685.82354154577
0,0,Total Agbiosciences,,,00,000,33140,Michigan City-La Porte MSA,000000,,2022,0.0,61066.44843460821
0,0,Total Agbiosciences,,,00,000,33140,Michigan City-La Porte MSA,000000,,2023,0.0,63287.00558500619
0,0,Total Agbiosciences,,,00,000,34620,Muncie MSA,000000,,2019,0.0,50221.15542876268
0,0,Total Agbiosciences,,,00,000,34620,Muncie MSA,000000,,2020,0.0,55925.093075366894
0,0,Total Agbiosciences,,,00,000,34620,Muncie MSA,000000,,2021,0.0,54643.53816100801
0,0,Total Agbiosciences,,,00,000,34620,Muncie MSA,000000,,2022,0.0,61896.89023952569
0,0,Total Agbiosciences,,,00,000,34620,Muncie MSA,000000,,2023,0.0,64541.75496233895
