statefips,countyfips,metrofips,geo_area,initiative,naics_title,naics_code,n_years,avg_growth,sd_growth,cv_growth,current_jobs
0,000,00000,United States,Advanced & Traded Industries,Animal Food Manufacturing,3111,9,2.8471301803220674,1.4237333494052935,0.5000590978401419,82046.6856964
0,000,00000,United States,Advanced & Traded Industries,"Agencies, Brokerages, and Other Insurance Related Activities",5242,9,2.074275805174608,1.1649814967090515,0.5616328811254615,1825621.2221096
0,000,00000,United States,Advanced & Traded Industries,Other Food Manufacturing,3119,9,3.0815838705551686,1.7826783238446682,0.578494176607793,300138.2198146
0,000,00000,United States,Advanced & Traded Industries,Other Financial Investment Activities,5239,9,3.538445090794193,2.3240642014734645,0.656803805581122,670561.5767147
0,000,00000,United States,Advanced & Traded Industries,Grain and Oilseed Milling,3112,9,1.3002181187508017,0.9012013873575471,0.6931155429701178,69231.90409116
0,000,00000,United States,Advanced & Traded Industries,Scientific Research and Development Services,5417,9,3.740760739986252,2.6073693997992793,0.6970158160419695,1017456.796801
0,000,00000,United States,Advanced & Traded Industries,Dairy Product Manufacturing,3115,9,1.7178969641817199,1.2473934700782552,0.7261165809629462,178188.88984217998
0,000,00000,United States,Advanced & Traded Industries,Pharmaceutical and Medicine Manufacturing,3254,9,2.194646073047394,1.6586388542743082,0.7557659864358864,371739.2203141
0,000,00000,United States,Advanced & Traded Industries,Insurance and Employee Benefit Funds,5251,9,7.787172110029185,6.495621354632655,0.8341438025065444,13708.20990028
0,000,00000,United States,Advanced & Traded Industries,"Architectural, Engineering, and Related Services",5413,9,1.7487850753988794,1.6437554615159573,0.9399413825286873,1769843.8037163
0,000,00000,United States,AgriNovus,All Other Miscellaneous Food Manufacturing,311999,9,3.9751725539504617,2.008057927241956,0.5051498771409006,50022.8344479
0,000,00000,United States,AgriNovus,Other Snack Food Manufacturing,311919,9,2.804903356513365,1.4472524770209512,0.5159723145755576,55088.4574454
0,000,00000,United States,AgriNovus,Cheese Manufacturing,311513,9,2.0080188862874353,1.0452387041205233,0.5205323073693959,66689.3043615
0,000,00000,United States,AgriNovus,Other Marine Fishing,114119,9,5.180333464684401,2.748200623382134,0.5305065093043313,915.196161361
0,000,00000,United States,AgriNovus,Biological Product (except Diagnostic) Manufacturing,325414,9,4.041445513352976,2.195036413039325,0.543131512174766,1035.116405712
0,000,00000,United States,AgriNovus,Medicinal and Botanical Manufacturing,325411,9,5.249347558995478,2.866093152531362,0.5459903579102736,1008.463839896
0,000,00000,United States,AgriNovus,Dog and Cat Food Manufacturing,311111,9,4.648223089603344,2.6095955734265712,0.5614178844521124,42647.000741
0,000,00000,United States,AgriNovus,Perishable Prepared Food Manufacturing,311991,9,3.53360841687091,1.9958627059984193,0.5648228299630894,77717.2108146
0,000,00000,United States,AgriNovus,Spice and Extract Manufacturing,311942,9,2.800977864254929,1.754832030517184,0.6265069256389773,31803.1201814
0,000,00000,United States,AgriNovus,Meat Processed from Carcasses,311612,9,2.247095918590055,1.4356868661073432,0.6389076915809486,164468.896019
0,000,00000,United States,BioCrossroads,Biological Product (except Diagnostic) Manufacturing,325414,9,4.041445513352976,2.1950364130393214,0.5431315121747651,51755.8202856
0,000,00000,United States,BioCrossroads,Medicinal and Botanical Manufacturing,325411,9,5.249347558995478,2.866093152531362,0.5459903579102736,50423.1919948
