statefips,countyfips,metrofips,display_level,geo_area,year,initiative,naics_title,naics_code,jobs
0,000,00000,2,United States,2024,Advanced & Traded Industries,Management of Companies and Enterprises,5511,2617304.0342002995
0,000,00000,2,United States,2024,Advanced & Traded Industries,Computer Systems Design and Related Services,5415,2459833.903077
0,000,00000,2,United States,2024,Advanced & Traded Industries,Warehousing and Storage,4931,1895348.1933846
0,000,00000,2,United States,2024,Advanced & Traded Industries,Depository Credit Intermediation,5221,1783626.6062915002
0,000,00000,2,United States,2024,Advanced & Traded Industries,"Management, Scientific, and Technical Consulting Services",5416,1715507.4605513
0,000,00000,2,United States,2024,Advanced & Traded Industries,"Agencies, Brokerages, and Other Insurance Related Activities",5242,1711856.3458568002
0,000,00000,2,United States,2024,Advanced & Traded Industries,"Architectural, Engineering, and Related Services",5413,1692488.9551221502
0,000,00000,2,United States,2024,Advanced & Traded Industries,Insurance Carriers,5241,1300702.4249661
0,000,00000,2,United States,2024,Advanced & Traded Industries,General Freight Trucking,4841,1082004.584581
0,000,00000,2,United States,2024,Advanced & Traded Industries,Scientific Research and Development Services,5417,929753.7575244
0,000,00000,3,United States,2024,AgriNovus,Crop Production,111000,592571.951931
0,000,00000,3,United States,2024,AgriNovus,Farm Labor Contractors and Crew Leaders,115115,341913.196362
0,000,00000,3,United States,2024,AgriNovus,Animal Production and Aquaculture,112000,309956.296313
0,000,00000,3,United States,2024,AgriNovus,General Line Grocery Merchant Wholesalers,424410,259834.136985
0,000,00000,3,United States,2024,AgriNovus,Poultry Processing,311615,247655.627628
0,000,00000,3,United States,2024,AgriNovus,Other Grocery and Related Products Merchant Wholesalers,424490,246864.796239
0,000,00000,3,United States,2024,AgriNovus,Meat Processed from Carcasses,311612,152722.851787
0,000,00000,3,United States,2024,AgriNovus,Commercial Bakeries,311812,149476.263866
0,000,00000,3,United States,2024,AgriNovus,Animal (except Poultry) Slaughtering,311611,149085.338777
0,000,00000,3,United States,2024,AgriNovus,Farm Supplies Merchant Wholesalers,424910,120869.746219
0,000,00000,2,United States,2024,BioCrossroads,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",541715,499117.48676964897
0,000,00000,2,United States,2024,BioCrossroads,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",423450,308469.248814165
0,000,00000,2,United States,2024,BioCrossroads,Research and Development in Biotechnology (except Nanobiotechnology),541714,287884.322562
0,000,00000,2,United States,2024,BioCrossroads,Drugs and Druggists' Sundries Merchant Wholesalers,424210,244182.999294744
0,000,00000,2,United States,2024,BioCrossroads,Pharmaceutical Preparation Manufacturing,325412,229571.062747
0,000,00000,2,United States,2024,BioCrossroads,Medical Laboratories,621511,225954.819291
0,000,00000,2,United States,2024,BioCrossroads,Surgical and Medical Instrument Manufacturing,339112,141335.236313
0,000,00000,2,United States,2024,BioCrossroads,Farm Supplies Merchant Wholesalers,424910,102014.065808836
0,000,00000,2,United States,2024,BioCrossroads,Surgical Appliance and Supplies Manufacturing,339113,101377.03348
0,000,00000,2,United States,2024,BioCrossroads,Electromedical and Electrotherapeutic Apparatus Manufacturing,334510,74287.0325425
0,000,00000,3,United States,2024,Conexus,Warehousing and Storage,4931,1895348.1933846
0,000,00000,3,United States,2024,Conexus,General Freight Trucking,4841,1082004.584581
0,000,00000,3,United States,2024,Conexus,Couriers and Express Delivery Services,4921,897032.568801
0,000,00000,3,United States,2024,Conexus,Grocery and Related Product Merchant Wholesalers,4244,827654.8840582998
0,000,00000,3,United States,2024,Conexus,"Machinery, Equipment, and Supplies Merchant Wholesalers",4238,778874.7113723
0,000,00000,3,United States,2024,Conexus,Professional and Commercial Equipment and Supplies Merchant Wholesalers,4234,745302.8397057
0,000,00000,3,United States,2024,Conexus,Plastics Product Manufacturing,3261,589253.4493734
