reporting_yr,cicp_initiative,Total_Establishments,Total_Employment,Previous_Year_Estabs,YoY_Estab_Change,YoY_Estab_Pct_Change,Previous_Year_Employment,YoY_Employment_Change,YoY_Employment_Pct_Change
2017,Advanced & Traded Industries,14851,79903.41666666667,NA,NA,NA,NA,NA,NA
2017,AgriNovus,1409.45998767,10139.18029908925,NA,NA,NA,NA,NA,NA
2017,BioX,453.882,3424.3279166666666,NA,NA,NA,NA,NA,NA
2017,Conexus,4197,42215.833333333336,NA,NA,NA,NA,NA,NA
2017,Other,32800,214929.66666666666,NA,NA,NA,NA,NA,NA
2017,TechPoint,1912,6706.25,NA,NA,NA,NA,NA,NA
2017,Total,48552,298394.25,NA,NA,NA,NA,NA,NA
2018,Advanced & Traded Industries,14975,79851.08333333333,14851,124,0.83496060871322,79903.41666666667,-52.333333333343035,-0.06549573912673079
2018,AgriNovus,1455.262214017,9980.552722021333,1409.45998767,45.80222634699999,3.249629414646704,10139.18029908925,-158.62757706791672,-1.5645009989827763
2018,BioX,513.118,2636.7429166666666,453.882,59.23600000000005,13.050969194636508,3424.3279166666666,-787.585,-22.999695682376608
2018,Conexus,4335,43464.083333333336,4197,138,3.288062902072908,42215.833333333336,1248.25,2.956828993860916
2018,Other,33067,210404.5,32800,267,0.8140243902438948,214929.66666666666,-4525.166666666657,-2.105417431128631
2018,TechPoint,1909,6525.666666666667,1912,-3,-0.1569037656903749,6706.25,-180.58333333333303,-2.692761727244486
2018,Total,48942,293662.8333333333,48552,390,0.8032624814631628,298394.25,-4731.416666666686,-1.5856259517958882
2019,Advanced & Traded Industries,15406,81639.08333333333,14975,431,2.878130217028385,79851.08333333333,1788,2.2391681181532785
2019,AgriNovus,1514.581199792,10365.47884555375,1455.262214017,59.3189857750001,4.076171648218652,9980.552722021333,384.92612353241566,3.856761586791735
2019,BioX,570.191,2451.13,513.118,57.07299999999998,11.122782673770937,2636.7429166666666,-185.61291666666648,-7.039477208544687
2019,Conexus,4491,44912.583333333336,4335,156,3.598615916955028,43464.083333333336,1448.5,3.332636717289561
2019,Other,33790,212857.91666666666,33067,723,2.1864698944566996,210404.5,2453.416666666657,1.1660476209713444
2019,TechPoint,2016,7071.083333333333,1909,107,5.605028810895751,6525.666666666667,545.4166666666661,8.358022168871626
2019,Total,50103,298034.6666666667,48942,1161,2.372195660169174,293662.8333333333,4371.833333333372,1.4887254487431
2020,Advanced & Traded Industries,15570,77564.5,15406,164,1.0645203167596984,81639.08333333333,-4074.5833333333285,-4.990971440353831
2020,AgriNovus,1466.45998767,9582.858096598084,1514.581199792,-48.12121212200009,-3.1771959224509483,10365.47884555375,-782.6207489556655,-7.550261407280468
2020,BioX,593.934,2486.16575,570.191,23.742999999999938,4.16404327672657,2451.13,35.03575000000001,1.4293713511727146
2020,Conexus,4518,41759.416666666664,4491,27,0.6012024048096087,44912.583333333336,-3153.1666666666715,-7.020675348964945
2020,Other,33862,195799.83333333334,33790,72,0.21308079313406836,212857.91666666666,-17058.083333333314,-8.013835520172874
2020,TechPoint,2130,7160.416666666667,2016,114,5.654761904761907,7071.083333333333,89.33333333333394,1.2633613425571344
2020,Total,50297,276690,50103,194,0.38720236313194434,298034.6666666667,-21344.666666666686,-7.161806680207228
2021,Advanced & Traded Industries,17245,83214.83333333333,15570,1675,10.757867694283885,77564.5,5650.3333333333285,7.284689946216805
2021,AgriNovus,1524.525912221,9790.025102024416,1466.45998767,58.06592455100008,3.959598286978072,9582.858096598084,207.16700542633225,2.161849871280852
2021,BioX,701.3870000000001,2684.3239166666667,593.934,107.45300000000009,18.091740833156567,2486.16575,198.1581666666666,7.97043264982098
2021,Conexus,4830,43894.916666666664,4518,312,6.905710491367856,41759.416666666664,2135.5,5.113816644150115
2021,Other,35778,212743.25,33862,1916,5.658259996456194,195799.83333333334,16943.416666666657,8.653437737008618
2021,TechPoint,2544,7988.75,2130,414,19.436619718309856,7160.416666666667,828.333333333333,11.56822810590632
2021,Total,53909,299242.25,50297,3612,7.181342823627657,276690,22552.25,8.150728251834183
2022,Advanced & Traded Industries,19254,83930.08333333333,17245,2009,11.649753551754127,83214.83333333333,715.25,0.859522240626176
2022,AgriNovus,1754,12115.083333333334,1524.525912221,229.474087779,15.052160539842285,9790.025102024416,2325.058231308918,23.749257096676235
2022,BioX,994,3250.9166666666665,701.3870000000001,292.61299999999994,41.71919354079843,2684.3239166666667,566.5927499999998,21.107465700472616
2022,Conexus,5122,43130.833333333336,4830,292,6.045548654244315,43894.916666666664,-764.0833333333285,-1.7407102948518993
2022,Other,37534,219833.66666666666,35778,1756,4.9080440494158495,212743.25,7090.416666666657,3.3328515319130725
2022,TechPoint,3281,8635.333333333334,2544,737,28.970125786163514,7988.75,646.5833333333339,8.09367339487823
2022,Total,58009,307981.5833333333,53909,4100,7.605409115361073,299242.25,8739.333333333314,2.9204877764865467
