statefips,metrofips,geo_name,year,month,year_month,year_month_dateFormat,labor,month_name,card1_title,month_year_title,LFPR 25-44,LFPR 25-54,LFPR 25-64,LFPR 16+
0,00000,United States,2010,01,201001,2010-01-01,153484000.0,January,United States Labor Force Participation,Jan-10,0.8073560982990555,0.801365480220994,0.7627205190566552,0.6480712065937035
0,00000,United States,2010,02,201002,2010-02-01,153694000.0,February,United States Labor Force Participation,Feb-10,0.8084607396990895,0.802461925132818,0.763764089129118,0.6485033628975772
0,00000,United States,2010,03,201003,2010-03-01,153954000.0,March,United States Labor Force Participation,Mar-10,0.8098283909562742,0.8038194283569813,0.765056128266453,0.6491594246897651
0,00000,United States,2010,04,201004,2010-04-01,154622000.0,April,United States Labor Force Participation,Apr-10,0.8133422026478107,0.8073071674098312,0.7683756749731446,0.6515090865423104
0,00000,United States,2010,05,201005,2010-05-01,154091000.0,May,United States Labor Force Participation,May-10,0.8105490379648678,0.8045347281327903,0.7657369335042027,0.6488069423450203
0,00000,United States,2010,06,201006,2010-06-01,153616000.0,June,United States Labor Force Participation,Jun-10,0.808050444321934,0.8020546741655692,0.7633764773879175,0.6462871807816903
0,00000,United States,2010,07,201007,2010-07-01,153691000.0,July,United States Labor Force Participation,Jul-10,0.8084449591076605,0.8024462616340777,0.7637491809852257,0.6460591029467401
0,00000,United States,2010,08,201008,2010-08-01,154086000.0,August,United States Labor Force Participation,Aug-10,0.8105227369791527,0.8045086223015564,0.7657120865977155,0.6471509750145948
0,00000,United States,2010,09,201009,2010-09-01,153975000.0,September,United States Labor Force Participation,Sep-10,0.8099388550962776,0.8039290728481636,0.7651604852736994,0.6460796737187503
0,00000,United States,2010,10,201010,2010-10-01,153635000.0,October,United States Labor Force Participation,Oct-10,0.8081503880676513,0.8021538763242579,0.7634708956325689,0.6440908900347965
0,00000,United States,2010,11,201011,2010-11-01,154125000.0,November,United States Labor Force Participation,Nov-10,0.8107278846677304,0.8047122477851809,0.7659058924683158,0.6456443876589238
0,00000,United States,2010,12,201012,2010-12-01,153650000.0,December,United States Labor Force Participation,Dec-10,0.8082292910247966,0.8022321938179597,0.7635454363520305,0.6431857473554663
0,00000,United States,2011,01,201101,2011-01-01,153263000.0,January,United States Labor Force Participation,Jan-11,0.801139512482849,0.794448835792237,0.7549904267543291,0.6420629733896374
0,00000,United States,2011,02,201102,2011-02-01,153214000.0,February,United States Labor Force Participation,Feb-11,0.8008833786729166,0.7941948410710465,0.754749047354794,0.6414626691954398
0,00000,United States,2011,03,201103,2011-03-01,153376000.0,March,United States Labor Force Participation,Mar-11,0.8017301884118766,0.7950345787206967,0.7555470772063184,0.6417405857740586
0,00000,United States,2011,04,201104,2011-04-01,153543000.0,April,United States Labor Force Participation,Apr-11,0.8026031342538908,0.79590023419904,0.7563697376088159,0.6420471176603414
0,00000,United States,2011,05,201105,2011-05-01,153479000.0,May,United States Labor Force Participation,May-11,0.8022685921347956,0.7955684859917707,0.7560544665563619,0.6413316451676256
0,00000,United States,2011,06,201106,2011-06-01,153346000.0,June,United States Labor Force Participation,Jun-11,0.8015733717935507,0.7948790717485393,0.7553992939004806,0.6403049826923157
0,00000,United States,2011,07,201107,2011-07-01,153288000.0,July,United States Labor Force Participation,Jul-11,0.8012701929981205,0.7945784249357016,0.755113579509194,0.639576753132419
0,00000,United States,2011,08,201108,2011-08-01,153760000.0,August,United States Labor Force Participation,Aug-11,0.8037374411264484,0.797025067964312,0.7574387035210433,0.641011210192145
0,00000,United States,2011,09,201109,2011-09-01,154131000.0,September,United States Labor Force Participation,Sep-11,0.8056767399730789,0.7989481708533259,0.7592662904032382,0.6420225683235375
0,00000,United States,2011,10,201110,2011-10-01,153961000.0,October,United States Labor Force Participation,Oct-11,0.804788112469232,0.798066964677767,0.758428851670157,0.6407859524116719
0,00000,United States,2011,11,201111,2011-11-01,154128000.0,November,United States Labor Force Participation,Nov-11,0.8056610583112462,0.7989326201561102,0.7592515120726545,0.6410221218510986
0,00000,United States,2011,12,201112,2011-12-01,153995000.0,December,United States Labor Force Participation,Dec-11,0.8049658379700013,0.7982432059128788,0.7585963394167732,0.6400882851727463
0,00000,United States,2012,01,201201,2012-01-01,154381000.0,January,United States Labor Force Participation,Jan-12,0.8007349794922476,0.7940787577882263,0.7542377609049224,0.6372296909633507
0,00000,United States,2012,02,201202,2012-02-01,154671000.0,February,United States Labor Force Participation,Feb-12,0.8022391357294318,0.7955704105159492,0.7556545735351193,0.637989564213088
0,00000,United States,2012,03,201203,2012-03-01,154749000.0,March,United States Labor Force Participation,Mar-12,0.802643701889778,0.7959716136634057,0.7560356472770343,0.6378666468813375
0,00000,United States,2012,04,201204,2012-04-01,154545000.0,April,United States Labor Force Participation,Apr-12,0.8015856057781034,0.794922313123904,0.7550389928751028,0.6365534796362199
0,00000,United States,2012,05,201205,2012-05-01,154866000.0,May,United States Labor Force Participation,May-12,0.8032505511302971,0.7965734183845905,0.7566072578899069,0.6373978252101117
0,00000,United States,2012,06,201206,2012-06-01,155083000.0,June,United States Labor Force Participation,Jun-12,0.8043760749353627,0.7976895861153349,0.7576674245821577,0.6377948222327322
0,00000,United States,2012,07,201207,2012-07-01,154948000.0,July,United States Labor Force Participation,Jul-12,0.8036758642732251,0.7969951960524294,0.7570078738749971,0.6367185252759354
0,00000,United States,2012,08,201208,2012-08-01,154763000.0,August,United States Labor Force Participation,Aug-12,0.8027163163288145,0.7960436244847441,0.7561040451281473,0.6354047773498764
0,00000,United States,2012,09,201209,2012-09-01,155160000.0,September,United States Labor Force Participation,Sep-12,0.8047754543500634,0.7980856456326957,0.758043612763279,0.6364963982737968
0,00000,United States,2012,10,201210,2012-10-01,155554000.0,October,United States Labor Force Participation,Oct-12,0.8068190321343758,0.8001122358903606,0.7599685237160292,0.637560813663247
0,00000,United States,2012,11,201211,2012-11-01,155338000.0,November,United States Labor Force Participation,Nov-12,0.8056986950749557,0.7990012117897118,0.7589132425845723,0.6361774799937749
0,00000,United States,2012,12,201212,2012-12-01,155628000.0,December,United States Labor Force Participation,Dec-12,0.8072028513121401,0.8004928645174347,0.7603300552147692,0.6369060773480664
0,00000,United States,2013,01,201301,2013-01-01,155763000.0,January,United States Labor Force Participation,Jan-13,0.8017281347619186,0.795045672321863,0.7553698502450802,0.6366430559586043
0,00000,United States,2013,02,201302,2013-02-01,155312000.0,February,United States Labor Force Participation,Feb-13,0.7994067915110977,0.792743677636237,0.7531827339051244,0.6343718855686441
0,00000,United States,2013,03,201303,2013-03-01,155005000.0,March,United States Labor Force Participation,Mar-13,0.797826631027723,0.7911766879056668,0.7516939429597442,0.6326863813547215
0,00000,United States,2013,04,201304,2013-04-01,155394000.0,April,United States Labor Force Participation,Apr-13,0.7998288539203379,0.7931622221245326,0.7535803914214799,0.6338085041297032
0,00000,United States,2013,05,201305,2013-05-01,155536000.0,May,United States Labor Force Participation,May-13,0.8005597424826806,0.7938870186774348,0.7542690178522421,0.6339016070067615
0,00000,United States,2013,06,201306,2013-06-01,155749000.0,June,United States Labor Force Participation,Jun-13,0.8016560753261948,0.7949742135067881,0.7553019574983852,0.6342811298625138
0,00000,United States,2013,07,201307,2013-07-01,155599000.0,July,United States Labor Force Participation,Jul-13,0.8008840099434384,0.7942085833452717,0.754574535212369,0.633144256905223
0,00000,United States,2013,08,201308,2013-08-01,155605000.0,August,United States Labor Force Participation,Aug-13,0.8009148925587486,0.7942392085517324,0.7546036321038097,0.6326460914217411
0,00000,United States,2013,09,201309,2013-09-01,155687000.0,September,United States Labor Force Participation,Sep-13,0.8013369549679887,0.7946577530400281,0.7550012896201652,0.6324420720808553
0,00000,United States,2013,10,201310,2013-10-01,154673000.0,October,United States Labor Force Participation,Oct-13,0.7961177929805554,0.7894820931481771,0.7500839149666948,0.6277797395091341
0,00000,United States,2013,11,201311,2013-11-01,155265000.0,November,United States Labor Force Participation,Nov-13,0.7991648776911674,0.7925037801856285,0.7529548082555059,0.62970713842485
0,00000,United States,2013,12,201312,2013-12-01,155182000.0,December,United States Labor Force Participation,Dec-13,0.7987376681793755,0.792080131496256,0.7525523012572436,0.6289164927354151
0,00000,United States,2014,01,201401,2014-01-01,155352000.0,January,United States Labor Force Participation,Jan-14,0.7939679387525757,0.7867487942401237,0.7471739198845715,0.629171982261102
