sector_id,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,year,own,disc,naics,naics_title,repunits,empl,wages
1,Manufacturing,1,Agbiosciences Manufacturing,0 ,000,00000,United States,2019,0,0,3111,Animal Food Manufacturing,2400.0,63612.08,4005053057.0
1,Manufacturing,1,Agbiosciences Manufacturing,0 ,000,00000,United States,2019,0,0,3112,Grain and Oilseed Milling,1045.0,61519.55,4543295706.0
1,Manufacturing,1,Agbiosciences Manufacturing,0 ,000,00000,United States,2019,0,0,3113,Sugar and Confectionery Product Manufacturing,2198.0,76589.23,4040917689.0
1,Manufacturing,1,Agbiosciences Manufacturing,0 ,000,00000,United States,2019,0,0,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,2369.0,173032.74,8966409023.0
1,Manufacturing,1,Agbiosciences Manufacturing,0 ,000,00000,United States,2019,0,0,3115,Dairy Product Manufacturing,2256.0,152760.99,9213249262.0
1,Manufacturing,1,Agbiosciences Manufacturing,0 ,000,00000,United States,2019,0,0,3116,Animal Slaughtering and Processing,4088.0,529256.83,22763649112.0
1,Manufacturing,1,Agbiosciences Manufacturing,0 ,000,00000,United States,2019,0,1,3117,Seafood Product Preparation and Packaging,817.0,35405.66,1764880502.0
1,Manufacturing,1,Agbiosciences Manufacturing,0 ,000,00000,United States,2019,0,0,3118,Bakeries and Tortilla Manufacturing,13650.0,313653.39,12692272740.0
1,Manufacturing,1,Agbiosciences Manufacturing,0 ,000,00000,United States,2019,0,0,3119,Other Food Manufacturing,5895.0,227740.89,12231134635.0
1,Manufacturing,1,Agbiosciences Manufacturing,0 ,000,00000,United States,2019,0,0,3121,Beverage Manufacturing,12772.0,276512.06,14073653558.0
1,Manufacturing,1,Agbiosciences Manufacturing,0 ,000,00000,United States,2019,0,0,3251,Basic Chemical Manufacturing,896.0,39815.0,3903976006.0
1,Manufacturing,1,Agbiosciences Manufacturing,0 ,000,00000,United States,2019,0,0,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",1322.0,36053.16,3068543341.0
1,Manufacturing,1,Agbiosciences Manufacturing,0 ,000,00000,United States,2019,0,0,3331,"Agriculture, Construction, and Mining Machinery Manufacturing",1450.0,60359.25,3760354553.0
